time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.055;1.7763568394002505e-15;2.5734878146025597e-14;1.4154182980314096e-15;4.0;38.8;-5.28;0;0;0
0.056;1.7763568394002505e-15;2.5734878146025597e-14;1.4411531761774352e-15;4.0;38.8;-5.28;0;0;0
0.057;1.7763568394002505e-15;2.5734878146025597e-14;1.4668880543234609e-15;4.0;38.8;-5.28;0;0;0
0.058;1.7763568394002505e-15;2.5734878146025597e-14;1.4926229324694865e-15;4.0;38.8;-5.28;0;0;0
0.059;1.7763568394002505e-15;2.5734878146025597e-14;1.5183578106155122e-15;4.0;38.8;-5.28;0;0;0
0.06;1.7763568394002505e-15;2.5734878146025597e-14;1.5440926887615378e-15;4.0;38.8;-5.28;0;0;0
0.061;1.7763568394002505e-15;2.5734878146025597e-14;1.5698275669075634e-15;4.0;38.8;-5.28;0;0;0
0.062;1.7763568394002505e-15;2.5734878146025597e-14;1.595562445053589e-15;4.0;38.8;-5.28;0;0;0
0.063;1.7763568394002505e-15;2.5734878146025597e-14;1.6212973231996147e-15;4.0;38.8;-5.28;0;0;0
0.064;1.7763568394002505e-15;2.5734878146025597e-14;1.6470322013456404e-15;4.0;38.8;-5.28;0;0;0
0.065;1.7763568394002505e-15;2.5734878146025597e-14;1.672767079491666e-15;4.0;38.8;-5.28;0;0;0
0.066;1.7763568394002505e-15;2.5734878146025597e-14;1.6985019576376917e-15;4.0;38.8;-5.28;0;0;0
0.067;1.7763568394002505e-15;2.5734878146025597e-14;1.7242368357837173e-15;4.0;38.8;-5.28;0;0;0
0.068;1.7763568394002505e-15;2.5734878146025597e-14;1.749971713929743e-15;4.0;38.8;-5.28;0;0;0
0.069;1.7763568394002505e-15;2.5734878146025597e-14;1.7757065920757686e-15;4.0;38.8;-5.28;0;0;0
0.07;1.7763568394002505e-15;2.5734878146025597e-14;1.8014414702217942e-15;4.0;38.8;-5.28;0;0;0
